case_id,storm_id,name,basin,episode_index,episode_start,episode_end,closest_approach_time,reference_time,reference_event,latitude,longitude,nearest_coast_latitude,nearest_coast_longitude,minimum_coast_distance_km,lifetime_vmax_kt,coastal_episode_vmax_kt,closest_approach_vmax_kt,reference_vmax_kt,crossing_vmax_kt,landfall_vmax_kt,coastline_crossing,crossing_count,landfall_crossing,landfall_count,coastline_exit,exit_count,tangent_crossing_count,r34_contact,r50_contact,r64_contact,r34_contact_hours,coastal_contact_span_hours,tier,primary_sample,selection_method,center_surface_at_closest_approach,center_surface_at_reference,nature_at_closest_approach,usa_status_at_closest_approach,nature_at_reference,usa_status_at_reference,track_types,provisional_track,r34_coverage_fraction,usa_wind_coverage_fraction,qc_status
2022024S09090-CE01,2022024S09090,BATSIRAI,SI,1,2022-02-01 04:17:08.571428+00:00,2022-02-04 06:45:00+00:00,2022-02-01 15:00:00+00:00,2022-02-01 15:00:00+00:00,coastal_approach,-17.3,59.6,-16.820860999999997,59.491222,54.27588635702367,125.0,125.0,85.0,85.0,,,False,0,False,0,False,0,0,True,True,False,74.46428571444444,74.46428571444444,B,True,wind_radius,sea,sea,TS,TY,TS,TY,main,False,1.0,1.0,passed
2022024S09090-CE02,2022024S09090,BATSIRAI,SI,2,2022-02-04 19:48:00+00:00,2022-02-05 17:00:00+00:00,2022-02-05 17:00:00+00:00,2022-02-05 17:01:48.141186+00:00,landfall,-20.967828484176778,48.461732767098006,-20.967828484176778,48.461732767098006,0.0,125.0,115.0,91.66666666666669,91.66666666666669,91.66666666666669,91.66666666666669,True,1,True,1,False,0,0,True,True,True,21.2,21.2,A,True,landfall_crossing+wind_radius,sea,coastline,TS,TY,TS,TY,main,False,1.0,1.0,passed
2022038S19164-CE01,2022038S19164,DOVI,SP,1,2022-02-08 14:00:00+00:00,2022-02-10 22:00:00+00:00,2022-02-10 08:34:17.142857+00:00,2022-02-10 08:35:52.804986+00:00,landfall,-22.54649132193556,167.46716621064786,-22.54649132193556,167.46716621064786,0.0,90.0,90.0,69.28571428571429,69.28571428571429,69.28571428571429,69.28571428571429,True,1,True,1,True,1,0,True,True,False,45.9,56.0,A,True,landfall_crossing+wind_radius+distance_proxy,sea,coastline,TS,TY,TS,TY,main,False,0.8508771929824561,1.0,passed
2022037S10103-CE02,2022037S10103,EMNATI,SI,2,2022-02-21 18:51:25.714285+00:00,2022-02-22 23:37:30+00:00,2022-02-22 23:37:30+00:00,2022-02-22 23:27:57.265179+00:00,landfall,-22.511100074799412,47.88927733193185,-22.511100074799412,47.88927733193185,0.0,115.0,94.0,65.625,65.625,65.625,65.625,True,1,True,1,False,0,0,True,True,True,28.58035714305555,28.76785714305556,A,True,landfall_crossing+wind_radius,land,coastline,TS,TY,TS,TY,main,False,1.0,1.0,passed
2022065S16055-CE02,2022065S16055,GOMBE,SI,2,2022-03-10 07:48:00+00:00,2022-03-11 00:00:00+00:00,2022-03-11 00:00:00+00:00,2022-03-11 00:06:26.567941+00:00,landfall,-15.396423780923852,40.59283804497135,-15.396423780923852,40.59283804497135,0.0,100.0,100.0,100.0,100.0,100.0,100.0,True,1,True,1,False,0,0,True,True,True,15.6,16.2,A,True,landfall_crossing+wind_radius,sea,coastline,TS,TY,TS,TY,main,False,1.0,1.0,passed
2022096N03150-CE01,2022096N03150,MALAKAS,WP,1,2022-04-14 03:00:00+00:00,2022-04-15 12:00:00+00:00,2022-04-15 06:00:00+00:00,2022-04-15 06:00:00+00:00,coastal_approach,27.899999999999995,141.8,27.680000000000003,142.123694,40.149854608742295,105.0,98.0,50.0,50.0,,,False,0,False,0,False,0,0,True,True,False,33.0,33.0,B,True,wind_radius,sea,sea,TS,TS,TS,TS,main,False,0.7953216374269005,0.7953216374269005,passed
2022126N07095-CE01,2022126N07095,ASANI,NI,1,2022-05-10 03:45:00+00:00,2022-05-13 00:45:00+00:00,2022-05-11 14:00:00+00:00,2022-05-11 14:11:14.554541+00:00,landfall,16.0271059709392,81.1541552134867,16.0271059709392,81.1541552134867,0.0,65.0,65.0,31.666666666666668,31.666666666666668,31.666666666666668,31.666666666666668,True,1,True,1,True,1,0,True,False,False,32.75,69.0,B,True,landfall_crossing+wind_radius+distance_proxy,sea,coastline,TS,TS,TS,TS,main,False,0.5,1.0,passed
2022148N13263-CE01,2022148N13263,AGATHA,EP,1,2022-05-30 06:45:00+00:00,2022-05-30 21:00:00+00:00,2022-05-30 21:00:00+00:00,2022-05-30 20:43:05.651107+00:00,landfall,15.671841413716908,-96.6282134331613,15.671841413716908,-96.6282134331613,0.0,95.0,94.33333333333331,90.0,90.0,90.0,90.0,True,1,True,1,False,0,0,True,True,True,13.95,14.25,A,True,landfall_crossing+wind_radius,land,coastline,TS,HU,TS,HU,main,False,1.0,1.0,passed
2022180N15117-CE01,2022180N15117,CHABA,WP,1,2022-06-30 18:00:00+00:00,2022-07-02 09:00:00+00:00,2022-07-02 09:00:00+00:00,2022-07-02 08:26:54.807661+00:00,landfall,21.444874470107656,111.03682399642422,21.444874470107656,111.03682399642422,0.0,75.0,75.0,68.0,69.75,69.75,69.75,True,3,True,3,True,2,0,True,True,True,39.0,39.0,A,True,landfall_crossing+wind_radius,sea,coastline,TS,TY,TS,TY,main,False,0.9101123595505618,1.0,passed
2022197N12260-CE01,2022197N12260,ESTELLE,EP,1,2022-07-18 10:07:30+00:00,2022-07-19 17:37:30+00:00,2022-07-19 08:30:00+00:00,2022-07-19 08:30:00+00:00,coastal_approach,18.566758832129533,-114.61658598120869,18.380889000000003,-114.683722,21.76084733561623,75.0,70.0,58.333333333333336,58.333333333333336,,,False,0,False,0,False,0,0,True,True,False,28.928571428472225,31.5,B,True,wind_radius,sea,sea,TS,TS,TS,TS,main,False,1.0,1.0,passed
