forecast_case_id,case_id,storm_id,reference_event,reference_time,reference_latitude,reference_longitude,nominal_lead_hours,target_init_time,init_time,actual_lead_hours,cycle_offset_hours,schedule_status
2022024S09090-CE01-L024,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01 15:00:00+00:00,-17.3,59.6,24,2022-01-31 15:00:00+00:00,2022-01-31 12:00:00+00:00,27.0,-3.0,matched
2022024S09090-CE01-L048,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01 15:00:00+00:00,-17.3,59.6,48,2022-01-30 15:00:00+00:00,2022-01-30 12:00:00+00:00,51.0,-3.0,matched
2022024S09090-CE01-L072,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01 15:00:00+00:00,-17.3,59.6,72,2022-01-29 15:00:00+00:00,2022-01-29 12:00:00+00:00,75.0,-3.0,matched
2022024S09090-CE01-L096,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01 15:00:00+00:00,-17.3,59.6,96,2022-01-28 15:00:00+00:00,2022-01-28 12:00:00+00:00,99.0,-3.0,matched
2022024S09090-CE01-L120,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01 15:00:00+00:00,-17.3,59.6,120,2022-01-27 15:00:00+00:00,2022-01-27 12:00:00+00:00,123.0,-3.0,matched
2022024S09090-CE02-L024,2022024S09090-CE02,2022024S09090,landfall,2022-02-05 17:01:48.141186+00:00,-20.967828484176778,48.461732767098006,24,2022-02-04 17:01:48.141186+00:00,2022-02-04 18:00:00+00:00,23.030039218333332,0.9699607816666667,matched
2022024S09090-CE02-L048,2022024S09090-CE02,2022024S09090,landfall,2022-02-05 17:01:48.141186+00:00,-20.967828484176778,48.461732767098006,48,2022-02-03 17:01:48.141186+00:00,2022-02-03 18:00:00+00:00,47.03003921833333,0.9699607816666667,matched
2022024S09090-CE02-L072,2022024S09090-CE02,2022024S09090,landfall,2022-02-05 17:01:48.141186+00:00,-20.967828484176778,48.461732767098006,72,2022-02-02 17:01:48.141186+00:00,2022-02-02 18:00:00+00:00,71.03003921833333,0.9699607816666667,matched
2022024S09090-CE02-L096,2022024S09090-CE02,2022024S09090,landfall,2022-02-05 17:01:48.141186+00:00,-20.967828484176778,48.461732767098006,96,2022-02-01 17:01:48.141186+00:00,2022-02-01 18:00:00+00:00,95.03003921833334,0.9699607816666667,matched
2022024S09090-CE02-L120,2022024S09090-CE02,2022024S09090,landfall,2022-02-05 17:01:48.141186+00:00,-20.967828484176778,48.461732767098006,120,2022-01-31 17:01:48.141186+00:00,2022-01-31 18:00:00+00:00,119.03003921833334,0.9699607816666667,matched
