case_id,storm_id,name,basin,reference_time,reference_event,latitude,longitude,coast_distance_km_at_anchor,landfall_count,r34_coverage_fraction,usa_wind_coverage_fraction,qc_status,failures,review_notes
2022024S09090-CE01,2022024S09090,BATSIRAI,SI,2022-02-01 15:00:00+00:00,coastal_approach,-17.3,59.6,54.275886357023666,0,1.0,1.0,passed,,
2022024S09090-CE02,2022024S09090,BATSIRAI,SI,2022-02-05 17:01:48.141186+00:00,landfall,-20.967828484176778,48.461732767098006,8.271252555124094e-06,1,1.0,1.0,passed,,anchor_within_six_hour_padding
2022038S19164-CE01,2022038S19164,DOVI,SP,2022-02-10 08:35:52.804986+00:00,landfall,-22.54649132193556,167.46716621064786,1.4828325743003908e-05,1,0.8508771929824561,1.0,passed,,
2022037S10103-CE02,2022037S10103,EMNATI,SI,2022-02-22 23:27:57.265179+00:00,landfall,-22.511100074799412,47.88927733193185,8.978487108506135e-06,1,1.0,1.0,passed,,
2022065S16055-CE02,2022065S16055,GOMBE,SI,2022-03-11 00:06:26.567941+00:00,landfall,-15.396423780923852,40.59283804497135,0.29321786475164807,1,1.0,1.0,passed,,anchor_within_six_hour_padding
2022096N03150-CE01,2022096N03150,MALAKAS,WP,2022-04-15 06:00:00+00:00,coastal_approach,27.899999999999995,141.8,40.149854608742295,0,0.7953216374269005,0.7953216374269005,passed,,limited_r34_coverage;limited_wind_coverage
2022126N07095-CE01,2022126N07095,ASANI,NI,2022-05-11 14:11:14.554541+00:00,landfall,16.0271059709392,81.1541552134867,1.7596854934654042e-05,1,0.5,1.0,passed,,limited_r34_coverage
2022148N13263-CE01,2022148N13263,AGATHA,EP,2022-05-30 20:43:05.651107+00:00,landfall,15.671841413716908,-96.6282134331613,1.5041732483574897e-05,1,1.0,1.0,passed,,
2022180N15117-CE01,2022180N15117,CHABA,WP,2022-07-02 08:26:54.807661+00:00,landfall,21.444874470107656,111.03682399642422,1.4009584322570521e-05,3,0.9101123595505618,1.0,passed,,
2022197N12260-CE01,2022197N12260,ESTELLE,EP,2022-07-19 08:30:00+00:00,coastal_approach,18.566758832129533,-114.61658598120869,21.76084733561552,0,1.0,1.0,passed,,
2022232N18131-CE01,2022232N18131,MA-ON,WP,2022-08-23 03:01:45.812067+00:00,landfall,17.50392788461882,122.19413439167596,1.8823944878403414e-05,1,1.0,1.0,passed,,anchor_within_six_hour_padding
2022239N22150-CE01,2022239N22150,HINNAMNOR,WP,2022-08-29 09:00:00+00:00,coastal_approach,27.4,142.2,9.61465445405963,0,1.0,1.0,passed,,
2022239N22150-CE02,2022239N22150,HINNAMNOR,WP,2022-08-30 20:40:00+00:00,coastal_approach,26.122441857096607,131.1887537321658,20.924374711921022,0,1.0,1.0,passed,,
2022239N22150-CE03,2022239N22150,HINNAMNOR,WP,2022-09-03 14:32:16.566754+00:00,landfall,24.63839707056672,124.71544350269308,2.181791013005038e-05,5,0.7672634271099744,0.7672634271099744,passed,,multiple_landfalls;limited_r34_coverage;limited_wind_coverage
2022248N14259-CE01,2022248N14259,KAY,EP,2022-09-08 20:21:07.743671+00:00,landfall,27.14631971953704,-114.28201547133936,1.092058422888274e-05,1,0.9590909090909092,1.0,passed,,
2022247N26147-CE01,2022247N26147,MUIFA,WP,2022-09-12 03:08:14.178193+00:00,landfall,24.41372887628158,124.09543463225128,1.5917314856294462e-05,14,0.875,1.0,passed,,multiple_landfalls
2022246N18301-CE02,2022246N18301,EARL,NA,2022-09-12 06:00:00+00:00,coastal_approach,44.29999999999999,-52.1,271.4808764195968,0,1.0,1.0,passed,,distant_wind_radius_contact
2022254N24143-CE01,2022254N24143,NANMADOL,WP,2022-09-18 08:23:51.200672+00:00,landfall,31.179511893685035,130.6,4.348567701378185e-06,9,0.7236842105263158,0.7236842105263158,passed,,multiple_landfalls;limited_r34_coverage;limited_wind_coverage
2022257N16312-CE01,2022257N16312,FIONA,NA,2022-09-18 19:08:05.413380+00:00,landfall,17.970238854532326,-67.07019711533643,1.0303516038335398e-05,3,1.0,1.0,passed,,
2022257N16312-CE02,2022257N16312,FIONA,NA,2022-09-19 14:16:13.542325+00:00,landfall,19.02708847987194,-69.12694401213258,1.1829963316240102e-05,3,1.0,1.0,passed,,anchor_within_six_hour_padding
2022257N16312-CE03,2022257N16312,FIONA,NA,2022-09-23 09:40:00+00:00,coastal_approach,33.52360155294915,-66.09169149337178,176.25687277614801,0,1.0,1.0,passed,,distant_wind_radius_contact
2022257N16312-CE04,2022257N16312,FIONA,NA,2022-09-24 07:02:38.502928+00:00,landfall,45.21320925880477,-61.2,2.8059274968060054e-05,5,1.0,1.0,passed,,multiple_landfalls
2022264N17132-CE01,2022264N17132,NORU,WP,2022-09-25 11:38:02.712618+00:00,landfall,15.18788843317617,121.47321277719672,8.927434982756548e-06,1,1.0,1.0,passed,,anchor_within_six_hour_padding
2022264N17132-CE02,2022264N17132,NORU,WP,2022-09-25 18:00:00+00:00,coastal_approach,15.500000000000002,119.9,0.39535208526280563,0,1.0,1.0,passed,,
2022266N12294-CE01,2022266N12294,IAN,NA,2022-09-27 08:19:45.669003+00:00,landfall,22.1726989674928,-83.69315619845587,1.811977714986281e-05,3,1.0,1.0,passed,,
2022264N17132-CE03,2022264N17132,NORU,WP,2022-09-27 20:14:55.194191+00:00,landfall,15.800107968561184,108.42522244706169,1.5394431105266843e-05,1,1.0,1.0,passed,,anchor_within_six_hour_padding
2022266N12294-CE02,2022266N12294,IAN,NA,2022-09-29 11:46:45.090075+00:00,landfall,28.370569688394763,-80.61477150667038,1.6224971636186886e-05,3,1.0,1.0,passed,,
