forecast_case_id,event_case_id,storm_id,reference_event,reference_time,reference_latitude,reference_longitude,nominal_lead_hours,target_init_time,actual_lead_hours,cycle_offset_hours,init_time,forecast_hours,forecast_end_time
2022024S09090-CE01-L024,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01T15:00:00Z,-17.3,59.6,24,2022-01-31T15:00:00Z,24.0,0.0,2022-01-31T15:00:00Z,24,2022-02-01T15:00:00Z
2022024S09090-CE01-L048,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01T15:00:00Z,-17.3,59.6,48,2022-01-30T15:00:00Z,48.0,0.0,2022-01-30T15:00:00Z,48,2022-02-01T15:00:00Z
2022024S09090-CE01-L072,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01T15:00:00Z,-17.3,59.6,72,2022-01-29T15:00:00Z,72.0,0.0,2022-01-29T15:00:00Z,72,2022-02-01T15:00:00Z
2022024S09090-CE01-L096,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01T15:00:00Z,-17.3,59.6,96,2022-01-28T15:00:00Z,96.0,0.0,2022-01-28T15:00:00Z,96,2022-02-01T15:00:00Z
2022024S09090-CE01-L120,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01T15:00:00Z,-17.3,59.6,120,2022-01-27T15:00:00Z,120.0,0.0,2022-01-27T15:00:00Z,120,2022-02-01T15:00:00Z
2022024S09090-CE02-L024,2022024S09090-CE02,2022024S09090,landfall,2022-02-05T17:01:48.141186Z,-20.967828484176778,48.461732767098006,24,2022-02-04T17:01:48.141186Z,24.030039218333332,-0.030039218333333336,2022-02-04T17:00:00Z,30,2022-02-05T23:00:00Z
2022024S09090-CE02-L048,2022024S09090-CE02,2022024S09090,landfall,2022-02-05T17:01:48.141186Z,-20.967828484176778,48.461732767098006,48,2022-02-03T17:01:48.141186Z,48.03003921833333,-0.030039218333333336,2022-02-03T17:00:00Z,54,2022-02-05T23:00:00Z
2022024S09090-CE02-L072,2022024S09090-CE02,2022024S09090,landfall,2022-02-05T17:01:48.141186Z,-20.967828484176778,48.461732767098006,72,2022-02-02T17:01:48.141186Z,72.03003921833333,-0.030039218333333336,2022-02-02T17:00:00Z,78,2022-02-05T23:00:00Z
2022024S09090-CE02-L096,2022024S09090-CE02,2022024S09090,landfall,2022-02-05T17:01:48.141186Z,-20.967828484176778,48.461732767098006,96,2022-02-01T17:01:48.141186Z,96.03003921833334,-0.030039218333333336,2022-02-01T17:00:00Z,102,2022-02-05T23:00:00Z
2022024S09090-CE02-L120,2022024S09090-CE02,2022024S09090,landfall,2022-02-05T17:01:48.141186Z,-20.967828484176778,48.461732767098006,120,2022-01-31T17:01:48.141186Z,120.03003921833334,-0.030039218333333336,2022-01-31T17:00:00Z,126,2022-02-05T23:00:00Z
